start,8:37h - 9/6/2013,	,	,	,	,	,
Current problem index : 2 ,9:7h - 9/6/2013,long	,	,	,	,
Refresh problem ,9:7h - 9/6/2013,	,	,	,	,	,
Replaying all steps ,9:7h - 9/6/2013,	,	,	,	,	,
Click ,9:8h - 9/6/2013,	,kneeling,far,little/no movement,	,
Make command Turn W,9:8h - 9/6/2013,	,	,	,	,little/no movement,
Click ,9:8h - 9/6/2013,	,kneeling,close,purposeful movement,	,
Make command Move 2,9:9h - 9/6/2013,	,	,	,	,purposeful movement,
Click ,9:9h - 9/6/2013,	,kneeling,close,little/no movement,	,
Make command Move 3,9:9h - 9/6/2013,	,	,	,	,purposeful movement,
Click ,9:10h - 9/6/2013,	,kneeling w/knees on floor,close,little/no movement,	,
Make command Plot point,9:10h - 9/6/2013,	,	,	,	,purposeful movement,
Checking the solution ,9:10h - 9/6/2013,	,	,	,	,	,
Click ,9:10h - 9/6/2013,	,	,	,	,	,
Solution is Incorrect ,9:10h - 9/6/2013,	,	,	,	,	,
Checked emotions are Sad/Ashamed/Frustrated. ,9:11h - 9/6/2013,	,	,	,	,	,
Refresh problem ,9:12h - 9/6/2013,	,	,	,	,	,
Replaying all steps ,9:12h - 9/6/2013,	,	,	,	,	,
Click ,9:13h - 9/6/2013,	,kneeling w/knees on floor,far,little/no movement,	,
Make command Turn W,9:13h - 9/6/2013,	,	,	,	,purposeful movement,
Click ,9:14h - 9/6/2013,	,kneeling w/knees on floor,far,purposeful movement,	,
Make command Move 2,9:14h - 9/6/2013,	,	,	,	,purposeful movement,
Click ,9:15h - 9/6/2013,	,kneeling,far,purposeful movement,	,
Make command Turn S,9:15h - 9/6/2013,	,	,	,	,purposeful movement,
Click ,9:15h - 9/6/2013,	,kneeling,far,purposeful movement,	,
Make command Move 3,9:15h - 9/6/2013,	,	,	,	,purposeful movement,
Click ,9:16h - 9/6/2013,	,kneeling w/knees on floor,far,purposeful movement,	,
Make command Plot point,9:16h - 9/6/2013,long	,	,	,purposeful movement,
Checking the solution ,9:16h - 9/6/2013,	,	,	,	,	,
Click ,9:16h - 9/6/2013,	,	,	,	,	,
Solution is Correct ,9:16h - 9/6/2013,	,	,	,	,	,
Checked emotions are Proud. ,9:17h - 9/6/2013,	,	,	,	,	,
Moving to next problem ,9:17h - 9/6/2013,	,	,	,	,	,
